,type,team_0_crowns,opponent_0_crowns,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_cards_0_level,team_0_cards_1_level,team_0_cards_2_level,team_0_cards_3_level,team_0_cards_4_level,team_0_cards_5_level,team_0_cards_6_level,team_0_cards_7_level,team_0_cards_0_maxLevel,team_0_cards_1_maxLevel,team_0_cards_2_maxLevel,team_0_cards_3_maxLevel,team_0_cards_4_maxLevel,team_0_cards_5_maxLevel,team_0_cards_6_maxLevel,team_0_cards_7_maxLevel,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_cards_0_level,opponent_0_cards_1_level,opponent_0_cards_2_level,opponent_0_cards_3_level,opponent_0_cards_4_level,opponent_0_cards_5_level,opponent_0_cards_6_level,opponent_0_cards_7_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_maxLevel,opponent_0_cards_2_maxLevel,opponent_0_cards_3_maxLevel,opponent_0_cards_4_maxLevel,opponent_0_cards_5_maxLevel,opponent_0_cards_6_maxLevel,opponent_0_cards_7_maxLevel
19,pathOfLegend,0,1,Giant,Bowler,Electro Wizard,Musketeer,Graveyard,Mighty Miner,Skeleton Army,Arrows,12,9,6,12,6,4,9,14,12,9,6,12,6,4,9,14,Knight,Poison,Archers,Miner,The Log,Goblins,Bats,Mortar,14,9,14,6,6,14,14,14,14,9,14,6,6,14,14,14
20,pathOfLegend,1,0,Giant,Bowler,Electro Wizard,Musketeer,Graveyard,Mighty Miner,Skeleton Army,Arrows,12,9,6,12,6,4,9,14,12,9,6,12,6,4,9,14,Skeleton Barrel,Dart Goblin,Goblin Gang,Mighty Miner,Rocket,Royal Recruits,Arrows,Wall Breakers,14,12,14,4,12,14,14,9,14,12,14,4,12,14,14,9
21,pathOfLegend,1,0,Giant,Bowler,Electro Wizard,Musketeer,Graveyard,Mighty Miner,Skeleton Army,Arrows,12,9,6,12,6,4,9,14,12,9,6,12,6,4,9,14,Knight,Fireball,X-Bow,Tesla,Archers,Electro Spirit,Skeletons,The Log,14,12,9,14,14,14,14,6,14,12,9,14,14,14,14,6
22,pathOfLegend,1,0,Giant,Bowler,Electro Wizard,Musketeer,Graveyard,Mighty Miner,Skeleton Army,Arrows,12,9,6,12,6,4,9,14,12,9,6,12,6,4,9,14,Mortar,Miner,Bats,Skeleton Army,Minion Horde,Archers,Skeleton King,Arrows,14,6,14,9,14,14,4,14,14,6,14,9,14,14,4,14
23,pathOfLegend,1,0,Giant,Bowler,Electro Wizard,Musketeer,Graveyard,Mighty Miner,Skeleton Army,Arrows,12,9,6,12,6,4,9,14,12,9,6,12,6,4,9,14,Giant Snowball,Ice Spirit,Knight,Poison,Phoenix,Miner,Archers,Mortar,14,14,14,9,6,6,14,14,14,14,14,9,6,6,14,14
24,pathOfLegend,2,1,Giant,Bowler,Electro Wizard,Musketeer,Graveyard,Mighty Miner,Skeleton Army,Arrows,12,9,6,12,6,4,9,14,12,9,6,12,6,4,9,14,Hog Rider,Zap,Mega Knight,Fisherman,Bats,Electro Spirit,Golden Knight,Executioner,12,14,6,6,14,14,4,9,12,14,6,6,14,14,4,9
0,pathOfLegend,3,0,Cannon,Fireball,Mighty Miner,Goblins,The Log,Wall Breakers,Goblin Drill,Archers,14,12,4,14,6,9,9,14,14,12,4,14,6,9,9,14,Graveyard,Phoenix,Fisherman,Skeleton King,Barbarian Barrel,Zappies,Poison,Tombstone,6,6,6,4,9,12,9,12,6,6,6,4,9,12,9,12
1,pathOfLegend,1,0,Cannon,Fireball,Mighty Miner,Goblins,The Log,Wall Breakers,Goblin Drill,Archers,14,12,4,14,6,9,9,14,14,12,4,14,6,9,9,14,Goblins,Tornado,Knight,P.E.K.K.A,Executioner,Zap,Mirror,Hog Rider,14,9,14,9,9,14,9,12,14,9,14,9,9,14,9,12
2,pathOfLegend,3,0,Goblins,Archers,The Log,Monk,Fire Spirit,Hog Rider,Bomb Tower,Earthquake,14,14,6,4,14,12,12,12,14,14,6,4,14,12,12,12,Goblin Barrel,Archers,Ice Spirit,Fireball,Wall Breakers,Goblin Gang,Mighty Miner,Princess,9,14,14,12,9,14,4,6,9,14,14,12,9,14,4,6
3,pathOfLegend,1,0,Goblins,Archers,The Log,Monk,Fire Spirit,Hog Rider,Bomb Tower,Earthquake,14,14,6,4,14,12,12,12,14,14,6,4,14,12,12,12,Golden Knight,Fire Spirit,Archers,Mirror,Electro Giant,Earthquake,Cannon,Tornado,4,14,14,9,9,12,14,9,4,14,14,9,9,12,14,9
4,pathOfLegend,3,0,Goblins,Archers,The Log,Monk,Fire Spirit,Hog Rider,Bomb Tower,Earthquake,14,14,6,4,14,12,12,12,14,14,6,4,14,12,12,12,Graveyard,Poison,Tornado,Barbarian Barrel,Tombstone,Mighty Miner,Baby Dragon,Ice Wizard,6,9,9,9,12,4,9,6,6,9,9,9,12,4,9,6
5,pathOfLegend,0,1,Goblins,Archers,The Log,Monk,Fire Spirit,Hog Rider,Bomb Tower,Earthquake,14,14,6,4,14,12,12,12,14,14,6,4,14,12,12,12,Wall Breakers,The Log,Miner,Bomb Tower,Valkyrie,Tornado,Magic Archer,Spear Goblins,9,6,6,12,12,9,6,14,9,6,6,12,12,9,6,14
6,pathOfLegend,3,0,Goblins,Archers,The Log,Monk,Fire Spirit,Hog Rider,Bomb Tower,Earthquake,14,14,6,4,14,12,12,12,14,14,6,4,14,12,12,12,X-Bow,Ice Spirit,Archers,The Log,Fireball,Tesla,Skeletons,Knight,9,14,14,6,12,14,14,14,9,14,14,6,12,14,14,14
7,pathOfLegend,1,0,Goblins,Archers,The Log,Monk,Fire Spirit,Hog Rider,Bomb Tower,Earthquake,14,14,6,4,14,12,12,12,14,14,6,4,14,12,12,12,Fireball,Royal Recruits,Royal Hogs,Flying Machine,Barbarian Barrel,Goblin Cage,Zappies,Arrows,12,14,12,12,9,12,12,14,12,14,12,12,9,12,12,14
8,pathOfLegend,1,0,Goblins,Wall Breakers,Skeleton Barrel,Goblin Gang,Dart Goblin,Royal Recruits,Mighty Miner,Fireball,14,9,14,14,12,14,4,12,14,9,14,14,12,14,4,12,Goblin Giant,Goblin Gang,Fireball,Zap,Archers,Prince,Dark Prince,Bats,9,14,12,14,14,9,9,14,9,14,12,14,14,9,9,14
9,pathOfLegend,0,1,Mega Knight,Bats,Wall Breakers,Zap,Archer Queen,Arrows,Prince,Bandit,6,14,9,14,4,14,9,6,6,14,9,14,4,14,9,6,Fireball,Magic Archer,P.E.K.K.A,Bandit,Royal Ghost,Battle Ram,Electro Wizard,Zap,12,6,9,6,6,12,6,14,12,6,9,6,6,12,6,14
10,pathOfLegend,0,1,Rage,Archers,Phoenix,Bomb Tower,Balloon,Miner,Giant Skeleton,Goblins,9,14,6,12,9,6,9,14,9,14,6,12,9,6,9,14,Royal Ghost,Fisherman,Magic Archer,Giant Skeleton,Zappies,Royal Hogs,Arrows,Skeletons,6,6,6,9,12,12,14,14,6,6,6,9,12,12,14,14
11,pathOfLegend,0,1,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Golden Knight,Fireball,Archers,Mirror,Electro Giant,Earthquake,Cannon,Tornado,4,12,14,9,9,12,14,9,4,12,14,9,9,12,14,9
12,pathOfLegend,1,0,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Fisherman,Goblins,Fireball,Monk,Phoenix,Mother Witch,Royal Giant,The Log,6,14,12,4,6,6,14,6,6,14,12,4,6,6,14,6
13,pathOfLegend,0,1,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Flying Machine,Arrows,Royal Hogs,Fireball,Zappies,Fisherman,Royal Recruits,Goblin Cage,12,14,12,12,12,6,14,12,12,14,12,12,12,6,14,12
14,pathOfLegend,0,1,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Archers,Fireball,Valkyrie,Fire Spirit,The Log,Electro Wizard,Royal Giant,Goblin Hut,14,12,12,14,6,6,14,12,14,12,12,14,6,6,14,12
15,pathOfLegend,1,0,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Knight,X-Bow,Tesla,Archers,Skeletons,Fireball,The Log,Ice Spirit,14,9,14,14,14,12,6,14,14,9,14,14,14,12,6,14
16,pathOfLegend,1,0,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Skeleton King,Graveyard,Tombstone,Archers,Arrows,Giant Snowball,Inferno Dragon,Ice Golem,4,6,12,14,14,14,6,12,4,6,12,14,14,14,6,12
17,pathOfLegend,1,0,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Lava Hound,Skeleton Dragons,Balloon,Arrows,Phoenix,Tombstone,Archers,Fireball,6,14,9,14,6,12,14,12,6,14,9,14,6,12,14,12
18,pathOfLegend,1,0,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Archers,Hog Rider,Knight,Inferno Tower,Fire Spirit,Royal Delivery,Earthquake,The Log,14,12,14,12,14,14,12,6,14,12,14,12,14,14,12,6
19,pathOfLegend,1,0,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Mighty Miner,Ice Spirit,Fireball,X-Bow,The Log,Skeletons,Archers,Tesla,4,14,12,9,6,14,14,14,4,14,12,9,6,14,14,14
20,pathOfLegend,2,1,Fireball,Wall Breakers,Mighty Miner,Archers,Ice Spirit,Goblin Gang,Goblin Barrel,Princess,12,9,4,14,14,14,9,6,12,9,4,14,14,14,9,6,Sparky,Goblin Giant,Mirror,Mother Witch,Rage,Zappies,Mini P.E.K.K.A,Phoenix,6,9,9,6,9,12,12,6,6,9,9,6,9,12,12,6
21,pathOfLegend,0,1,Cannon,Fireball,Mighty Miner,Goblins,The Log,Wall Breakers,Goblin Drill,Archers,14,12,4,14,6,9,9,14,14,12,4,14,6,9,9,14,Wall Breakers,The Log,Miner,Bomb Tower,Valkyrie,Tornado,Magic Archer,Spear Goblins,9,6,6,12,12,9,6,14,9,6,6,12,12,9,6,14
22,pathOfLegend,2,1,Cannon,Fireball,Mighty Miner,Goblins,The Log,Wall Breakers,Goblin Drill,Archers,14,12,4,14,6,9,9,14,14,12,4,14,6,9,9,14,Balloon,Barbarians,Flying Machine,Freeze,Lava Hound,Arrows,Phoenix,Skeleton Dragons,9,14,12,9,6,14,6,14,9,14,12,9,6,14,6,14
23,pathOfLegend,1,0,Cannon,Fireball,Mighty Miner,Goblins,The Log,Wall Breakers,Goblin Drill,Archers,14,12,4,14,6,9,9,14,14,12,4,14,6,9,9,14,Giant Skeleton,The Log,Hog Rider,Bomb Tower,Tornado,Spear Goblins,Firecracker,Earthquake,9,6,12,12,9,14,14,12,9,6,12,12,9,14,14,12
24,pathOfLegend,1,0,Cannon,Fireball,Mighty Miner,Goblins,The Log,Wall Breakers,Goblin Drill,Archers,14,12,4,14,6,9,9,14,14,12,4,14,6,9,9,14,Balloon,Lumberjack,Magic Archer,Mini P.E.K.K.A,Skeleton Army,Mirror,Freeze,Bats,9,6,6,12,9,9,9,14,9,6,6,12,9,9,9,14
5,pathOfLegend,3,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Goblin Giant,Sparky,Elite Barbarians,Dark Prince,Skeleton Army,Mega Minion,Rage,Zap,9,6,14,9,9,12,8,13,9,6,14,9,9,12,9,14
6,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Cannon Cart,Barbarian Barrel,Royal Ghost,Magic Archer,Goblin Drill,Tornado,Electro Wizard,Golden Knight,9,9,6,6,9,9,6,4,9,9,6,6,9,9,6,4
7,pathOfLegend,0,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Hog Rider,Tornado,Lightning,Valkyrie,Executioner,Ice Spirit,Goblins,The Log,12,9,9,12,9,14,14,6,12,9,9,12,9,14,14,6
8,pathOfLegend,2,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Elite Barbarians,Electro Dragon,Barbarian Barrel,Phoenix,Lumberjack,Golem,Elixir Collector,Tornado,14,9,9,6,6,9,12,9,14,9,9,6,6,9,12,9
9,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Tombstone,Graveyard,Arrows,Giant Snowball,Archers,Skeleton King,Inferno Dragon,Cannon Cart,12,6,14,14,14,4,6,9,12,6,14,14,14,4,6,9
10,pathOfLegend,0,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Skeleton King,Zappies,Mother Witch,Fisherman,Royal Giant,Fireball,The Log,Tombstone,4,12,6,6,14,12,6,12,4,12,6,6,14,12,6,12
11,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Valkyrie,Fireball,Lumberjack,Minion Horde,Skeleton Army,Musketeer,Arrows,Lava Hound,12,12,6,14,9,12,14,6,12,12,6,14,9,12,14,6
12,pathOfLegend,0,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Bomb Tower,Spear Goblins,Wall Breakers,Miner,Fireball,Knight,The Log,Bats,12,14,9,6,12,14,6,14,12,14,9,6,12,14,6,14
13,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Goblin Gang,Archers,Zap,Mega Knight,Miner,Bats,Skeleton Barrel,Inferno Dragon,14,14,14,6,6,14,14,6,14,14,14,6,6,14,14,6
14,pathOfLegend,1,3,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Minions,Golem,Mirror,Wizard,Goblin Hut,Elite Barbarians,Tornado,Minion Horde,14,9,9,12,12,14,9,14,14,9,9,12,12,14,9,14
15,pathOfLegend,2,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Mega Knight,Zap,Mini P.E.K.K.A,Bats,Goblin Gang,Miner,Wall Breakers,Musketeer,6,14,12,14,14,6,9,12,6,14,12,14,14,6,9,12
16,pathOfLegend,3,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Tornado,Executioner,Freeze,Zappies,Bowler,Graveyard,Phoenix,Golden Knight,9,9,9,12,9,6,6,4,9,9,9,12,9,6,6,4
17,pathOfLegend,2,3,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Mighty Miner,Lumberjack,Mother Witch,Goblin Hut,Minion Horde,Balloon,Freeze,Barbarian Barrel,4,6,6,12,14,9,9,9,4,6,6,12,14,9,9,9
18,pathOfLegend,0,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Electro Giant,Phoenix,Golden Knight,Skeletons,Cannon,Archers,Lightning,Tornado,9,6,4,14,14,14,9,9,9,6,4,14,14,14,9,9
19,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Mega Knight,Electro Wizard,Bandit,Inferno Tower,Bats,Elite Barbarians,Zap,Goblin Gang,6,6,6,12,14,14,14,14,6,6,6,12,14,14,14,14
20,pathOfLegend,0,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Knight,Hog Rider,Archers,Earthquake,Skeletons,Bomb Tower,The Log,Giant Snowball,14,12,14,12,14,12,6,14,14,12,14,12,14,12,6,14
21,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Phoenix,Tornado,Poison,Barbarian Barrel,Ice Wizard,Tombstone,Graveyard,Skeleton King,6,9,9,9,6,12,6,4,6,9,9,9,6,12,6,4
22,pathOfLegend,1,0,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Poison,Miner,Phoenix,Mortar,The Log,Valkyrie,Ice Spirit,Archers,9,6,6,14,6,12,14,14,9,6,6,14,6,12,14,14
23,pathOfLegend,0,1,Golden Knight,Three Musketeers,The Log,Elixir Collector,Elite Barbarians,Royal Ghost,Heal Spirit,Ice Golem,4,12,6,12,14,6,12,12,4,12,6,12,14,6,12,12,Electro Giant,Ice Wizard,Baby Dragon,Lightning,Goblin Cage,Dark Prince,Barbarian Barrel,Tornado,9,6,9,9,12,9,9,9,9,6,9,9,12,9,9,9
10,pathOfLegend,3,1,Royal Hogs,Barbarian Hut,Archers,Barbarian Barrel,Royal Recruits,Golden Knight,Dart Goblin,Fireball,12,12,14,9,14,4,12,12,12,12,14,9,14,4,12,12,Lava Hound,Balloon,Barbarians,Zap,Miner,Inferno Dragon,Arrows,Skeleton Dragons,6,9,14,14,6,6,14,14,6,9,14,14,6,6,14,14
0,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Minions,Musketeer,Arrows,Ice Golem,Freeze,Barbarian Barrel,Skeleton Army,Graveyard,14,12,14,12,9,9,9,6,14,12,14,12,9,9,9,6
1,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Goblin Barrel,Dart Goblin,Ice Spirit,Rocket,The Log,Inferno Tower,Mighty Miner,Goblins,9,12,14,12,6,12,4,14,9,12,14,12,6,12,4,14
2,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Arrows,Bats,Bomb Tower,Magic Archer,Miner,Goblins,Valkyrie,Wall Breakers,14,14,12,6,6,14,12,9,14,14,12,6,6,14,12,9
3,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Valkyrie,The Log,Miner,Magic Archer,Royal Delivery,Wall Breakers,Bomb Tower,Tornado,12,6,6,6,14,9,12,9,12,6,6,6,14,9,12,9
4,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Mega Knight,Bats,Zap,Mini P.E.K.K.A,Musketeer,Miner,Wall Breakers,Arrows,6,14,14,12,12,6,9,13,6,14,14,12,12,6,9,14
5,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Hog Rider,Tornado,Lightning,Valkyrie,Executioner,Ice Spirit,Goblins,The Log,12,9,9,12,9,14,14,6,12,9,9,12,9,14,14,6
6,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Bomb Tower,Mighty Miner,Poison,The Log,Miner,Wall Breakers,Spear Goblins,Bats,12,4,9,6,6,9,14,14,12,4,9,6,6,9,14,14
7,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Musketeer,Skeletons,Balloon,Miner,Giant Snowball,Ice Golem,Bomb Tower,Barbarian Barrel,12,14,9,6,14,12,12,9,12,14,9,6,14,12,12,9
8,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Firecracker,Bats,Mini P.E.K.K.A,The Log,Goblin Gang,Fireball,Ice Golem,Royal Hogs,14,14,12,6,14,12,12,12,14,14,12,6,14,12,12,12
9,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Giant Skeleton,Graveyard,Skeleton Army,Arrows,Freeze,Zappies,Bats,Archers,9,6,9,14,9,12,14,14,9,6,9,14,9,12,14,14
10,pathOfLegend,3,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Miner,Wall Breakers,Bomb Tower,Valkyrie,Spear Goblins,Magic Archer,Tornado,The Log,6,9,12,12,14,6,9,6,6,9,12,12,14,6,9,6
11,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Mega Knight,Bats,Wall Breakers,Zap,Archer Queen,Arrows,Prince,Bandit,6,14,9,14,4,14,9,6,6,14,9,14,4,14,9,6
12,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Royal Giant,Minion Horde,Barbarians,Archers,Zap,Arrows,Hog Rider,Sparky,14,14,14,14,14,14,12,6,14,14,14,14,14,14,12,6
13,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Cannon,Hog Rider,Musketeer,Fireball,Goblins,Ice Spirit,Ice Golem,The Log,14,12,12,12,14,14,12,6,14,12,12,12,14,14,12,6
14,pathOfLegend,1,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Skeleton Army,The Log,Arrows,Archers,Mega Minion,Giant,Inferno Tower,Graveyard,9,6,14,14,12,12,12,6,9,6,14,14,12,12,12,6
15,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Electro Giant,Tornado,Barbarian Barrel,Golden Knight,Cannon,Archers,Phoenix,Lightning,9,9,9,4,14,14,6,9,9,9,9,4,14,14,6,9
16,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Skeleton King,Mortar,Minion Horde,Miner,Skeleton Army,Archers,Arrows,Flying Machine,4,14,14,6,9,14,14,12,4,14,14,6,9,14,14,12
17,pathOfLegend,0,3,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Heal Spirit,Elixir Collector,Bats,Dark Prince,Giant,Witch,Mini P.E.K.K.A,Rage,12,12,14,9,12,9,12,9,12,12,14,9,12,9,12,9
18,pathOfLegend,0,3,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Elixir Golem,Battle Healer,Monk,Phoenix,Electro Dragon,Rage,Arrows,Elite Barbarians,12,12,4,6,9,9,14,14,12,12,4,6,9,9,14,14
19,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Giant,Electro Wizard,Minions,Fireball,Night Witch,Dark Prince,Balloon,Arrows,12,6,14,12,6,9,9,14,12,6,14,12,6,9,9,14
20,pathOfLegend,3,0,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Bats,Goblins,Poison,Valkyrie,Miner,The Log,Bomb Tower,Wall Breakers,14,14,9,12,6,6,12,9,14,14,9,12,6,6,12,9
21,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Arrows,Giant Skeleton,Goblin Barrel,Mirror,Fisherman,Skeleton Army,Firecracker,Zappies,14,9,9,9,6,9,14,12,14,9,9,9,6,9,14,12
22,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Giant,Sparky,Mighty Miner,Mini P.E.K.K.A,Arrows,Rage,Zappies,Minions,12,6,4,12,14,9,12,14,12,6,4,12,14,9,12,14
23,pathOfLegend,0,1,Archers,The Log,X-Bow,Knight,Skeletons,Tesla,Electro Spirit,Fireball,14,6,9,14,14,14,14,12,14,6,9,14,14,14,14,12,Valkyrie,The Log,Miner,Goblins,Archer Queen,Ice Spirit,Poison,Mortar,12,6,6,14,4,14,9,14,12,6,6,14,4,14,9,14
